"City","Country","Population","Latitude","Longitude"
"Andorra la Vella","AD",20430,42.5,1.5166667
"Canillo","AD",3292,42.5666667,1.6
"Encamp","AD",11224,42.5333333,1.5833333
"La Massana","AD",7211,42.55,1.5166667
"Les Escaldes","AD",15854,42.5,1.5333333
"Ordino","AD",2553,42.55,1.5333333
"Sant Julià de Lòria","AD",8020,42.4666667,1.5
"Abu Dhabi","AE",603687,24.466667,54.366667
"Dubai","AE",1137376,25.258172,55.304717
"Sharjah","AE",543942,25.35731,55.403304
"Acin","AF",15098,34.082481,70.668152
"Anar Darreh","AF",10023,32.758698,61.653969
"Andarab","AF",27034,35.633484,69.260195
"Asadabad","AF",48400,34.873113,71.14697
"Asmar","AF",15708,35.033328,71.358087
"Aybak","AF",47877,36.26468,68.015512
"Azrow","AF",12526,34.173553,69.645728
"Baglan","AF",108481,36.130684,68.708286
"Bagrami","AF",30256,34.493761,69.274274
"Baraki Barak","AF",22305,33.9675,68.948611
"Cah Ab","AF",23424,37.397734,69.814644
"Carikar","AF",53693,35.016585,69.174011
"Ciras","AF",12778,35.416737,65.982341
"Dawlatabad","AF",13603,36.432589,64.920713
"Dawlatabad","AF",17674,36.98782,66.82066
"Deh Rawud","AF",25683,32.624131,65.459659
"Eskasem","AF",12120,36.706932,71.570658
"Farah","AF",43574,32.374508,62.116383
"Gardan Diwal","AF",6815,34.508977,68.260739
"Gardez","AF",103732,33.597439,69.225922
"Gazni","AF",143049,33.550833,68.4225
"Geresk","AF",43638,31.820894,64.570048
"Herat","AF",272880,34.348167,62.199673
"Jalalabad","AF",200389,34.426468,70.45153
"Jurm","AF",12121,36.864768,70.834207
"Kabul","AF",3043589,34.516667,69.183333
"Kholm","AF",64954,36.697362,67.698255
"Khowst","AF",96246,33.339512,69.92041
"Kuhestan","AF",12087,34.653889,61.197778
"Kusk","AF",16952,33.29565,61.952206
"Lar Gerd","AF",11635,35.489361,66.664088
"Mehtar Lam","AF",17350,34.671389,70.209444
"Mirabad","AF",14160,30.436244,61.838304
"Nahrin","AF",22389,36.064904,69.13343
"Nuristan","AF",17072,34.95,70.4
"Orgun","AF",10665,32.901111,69.152798
"Pagman","AF",49173,34.5875,68.953333
"Panjab","AF",13471,34.387949,67.023273
"Qandahar","AF",391230,31.613323,65.710126
"Qarchi Gak","AF",8942,37.039988,66.788912
"Qarqin","AF",15023,37.404464,66.074375
"Qunduz","AF",161943,36.728955,68.857001
"Rostaq","AF",25644,37.126035,69.83045
"Rudbar","AF",11034,30.15,62.6
"Sahrak","AF",15967,34.107375,64.305199
"Sangin","AF",13579,32.072752,64.835903
"Sar-e Pul","AF",52138,36.215443,65.932487
"Sharan","AF",7368,33.146667,68.791667
"Shibarghan","AF",55658,36.667567,65.752904
"Sindand","AF",29273,33.302944,62.1474
"Tagab","AF",6400,34.855007,69.64917
"Taloqan","AF",64275,36.734133,69.533559
"Taywarah","AF",14398,33.521176,64.421156
"Tir Pol","AF",6979,34.594307,61.268951
"Tokzar","AF",12021,35.948308,66.42132
"Uruzgan","AF",13400,32.927751,66.632534
"Zaranj","AF",33894,30.966667,61.883333
"All Saints","AG",2526,17.05,-61.8
"Carlisle","AG",831,17.1333333,-61.8
"Codrington","AG",682,17.6333333,-61.8333333
"Freetown","AG",623,17.05,-61.7
"Liberta","AG",1668,17.0333333,-61.7833333
"Old Road","AG",623,17.0166667,-61.8333333
"Parham","AG",969,17.0833333,-61.7666667
"Swetes","AG",727,17.05,-61.8
"The Valley","AI",1379,18.2166667,-63.05
"Bajram Curri","AL",7967,42.3572222,20.0730556
"Ballsh","AL",10361,40.5988889,19.7347222
"Berat","AL",47606,40.7058333,19.9522222
"Bilisht","AL",7114,40.6275,20.99
"Bulqizë","AL",11212,41.4916667,20.2219444
"Burrel","AL",15539,41.6102778,20.0088889
"Cërrik","AL",14269,41.0316667,19.9758333
"Çorovodë","AL",14046,40.5041667,20.2272222
"Delvinë","AL",3916,39.9511111,20.0977778
"Durrës","AL",122034,41.3230556,19.4413889
"Elbasan","AL",100903,41.1125,20.0822222
"Ersekë","AL",7890,40.3377778,20.6788889
"Fier","AL",59719,40.7238889,19.5561111
"Fierzë","AL",742,42.2647222,20.0269444
"Fierzë","AL",742,42.2605556,20.0169444
"Fushë-Arrëz","AL",2438,42.0622222,20.0166667
"Fushë-Krujë","AL",10458,41.4783333,19.7177778
"Gjirokastër","AL",23437,40.0758333,20.1388889
"Gramsh","AL",11556,40.8697222,20.1844444
"Himarë","AL",4596,40.1016667,19.7447222
"Kamzë","AL",11026,41.3816667,19.7602778
"Kavajë","AL",29354,41.1855556,19.5569444
"Këlcyrë","AL",2486,40.3130556,20.1894444
"Kërrabë","AL",1177,41.2155556,19.9713889
"Klos","AL",683,41.4844444,20.1080556
"Konispol","AL",1349,39.6588889,20.1813889
"Koplik","AL",4078,42.2136111,19.4363889
